Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Travis (TX),Stray,Injured,Cat,Unknown,24,Domestic Shorthair Mix,Unknown,24,1.0,750,PM,2015-04-03,0.38461538461538464,0.07200000000000001,Quarter 1,0.0
Austin (TX),Stray,Nursing,Dog,Intact Female,0,Pit Bull Mix,Intact Female,0,0.0,751,AM,2014-01-04,1.5384615384615385,0.43200000000000005,Quarter 1,1.0
Austin (TX),Stray,Normal,Dog,Neutered Male,36,others,Neutered Male,36,1.0,752,AM,2013-10-08,0.21691973969631237,0.9,Quarter 3,22.0
Austin (TX),Wildlife,Normal,Other,Unknown,1,Bat,Unknown,1,1.0,753,PM,2016-03-30,6.666666666666667,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Intact Male,144,Miniature Poodle Mix,Intact Male,144,0.0,754,PM,2015-02-10,7.6923076923076925,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Dog,Intact Male,5,German Shepherd Mix,Intact Male,5,0.0,755,AM,2016-07-01,4.166666666666666,0.54,Quarter 2,0.0
Austin (TX),Stray,Sick,Cat,Intact Male,1,others,Intact Male,1,0.0,756,AM,2019-07-28,0.21691973969631237,0.10800000000000001,Quarter 2,0.0
Austin (TX),Wildlife,Sick,Other,Unknown,1,others,Unknown,1,1.0,757,PM,2018-12-23,0.21691973969631237,0.0,Quarter 3,0.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,others,Neutered Male,2,0.0,758,AM,2017-06-16,0.21691973969631237,0.54,Quarter 2,4.0
Travis (TX),Owner Surrender,Normal,Other,Intact Male,48,others,Neutered Male,48,0.0,759,PM,2017-11-06,0.21691973969631237,0.18,Quarter 3,32.0
Austin (TX),Stray,Normal,Other,Neutered Male,96,others,Neutered Male,96,0.0,760,PM,2020-01-25,0.21691973969631237,0.27,Quarter 1,1.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,others,Intact Male,24,0.0,761,PM,2019-02-18,0.21691973969631237,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Cat,Unknown,24,others,Unknown,24,0.0,762,PM,2014-07-29,0.21691973969631237,0.36000000000000004,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2,Domestic Shorthair Mix,Intact Female,2,0.0,763,PM,2018-02-19,0.38461538461538464,0.6,Quarter 1,5.0
Austin (TX),Stray,Normal,Cat,Spayed Female,24,others,Spayed Female,24,0.0,764,PM,2014-08-04,0.21691973969631237,0.9,Quarter 2,8.0
