Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Travis (TX),Stray,Nursing,Intact Female,1,Dog,Intact Female,1,Pit Bull,0.0,AM,2015-07-29
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,2,Australian Cattle Dog,0.0,PM,2019-06-10
Austin (TX),Stray,Normal,Neutered Male,1,Dog,Neutered Male,1,Boxer,0.0,PM,2016-02-25
Austin (TX),Stray,Normal,Unknown,24,Other,Unknown,24,Raccoon,1.0,AM,2015-01-24
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2018-01-06
Austin (TX),Stray,Normal,Spayed Female,60,Dog,Spayed Female,60,rare_dog,0.0,PM,2018-02-08
Pflugerville (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2018-12-09
Pflugerville (TX),Stray,Normal,Spayed Female,48,Dog,Spayed Female,48,rare_dog,0.0,PM,2019-01-20
Pflugerville (TX),Owner Surrender,Normal,Spayed Female,120,Dog,Spayed Female,120,German Shepherd,0.0,PM,2016-01-05
Austin (TX),Stray,Injured,Intact Male,2,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2014-08-05
Austin (TX),Stray,Normal,Unknown,3,Cat,Unknown,3,rare_cat,0.0,AM,2014-08-03
Outside Jurisdiction,Public Assist,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,PM,2017-09-01
Austin (TX),Owner Surrender,Nursing,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2019-09-18
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2016-08-02
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,Cairn Terrier,0.0,PM,2014-11-08
Austin (TX),Stray,Normal,Intact Female,0,Dog,Spayed Female,1,Jack Russell Terrier,0.0,PM,2018-03-06
Austin (TX),Stray,Injured,Spayed Female,156,Dog,Spayed Female,156,Chihuahua Shorthair,0.0,PM,2017-09-28
Austin (TX),Stray,Normal,Intact Male,96,Dog,Neutered Male,96,Labrador Retriever,0.0,AM,2015-04-24
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2016-05-19
Del Valle (TX),Stray,Normal,Intact Female,6,Dog,Spayed Female,6,Cairn Terrier,0.0,PM,2016-11-18
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,PM,2016-12-19
Austin (TX),Owner Surrender,Normal,Spayed Female,84,Dog,Spayed Female,84,Pit Bull,0.0,PM,2015-01-18
Austin (TX),Stray,Normal,Intact Male,24,Cat,Neutered Male,24,Domestic Shorthair,0.0,PM,2019-02-01
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,AM,2018-07-12
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Australian Cattle Dog,0.0,PM,2019-02-08
Austin (TX),Owner Surrender,Normal,Intact Female,24,Cat,Intact Female,24,rare_cat,0.0,PM,2014-05-15
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Chihuahua Shorthair,0.0,PM,2014-07-05
Austin (TX),Stray,Normal,Intact Male,9,Dog,Neutered Male,1,rare_dog,0.0,AM,2015-07-22
Lakeway (TX),Owner Surrender,Normal,Intact Female,36,Cat,Spayed Female,36,Domestic Shorthair,0.0,PM,2015-02-24
Pflugerville (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2018-09-17
Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,Pit Bull,0.0,PM,2018-12-31
Travis (TX),Stray,Injured,Neutered Male,96,Dog,Neutered Male,96,Pit Bull,0.0,AM,2014-04-08
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,Labrador Retriever,0.0,AM,2014-08-13
Austin (TX),Owner Surrender,Normal,Spayed Female,96,Cat,Spayed Female,96,Domestic Shorthair,0.0,PM,2015-02-24
Austin (TX),Owner Surrender,Normal,Intact Male,0,Dog,Intact Male,0,rare_dog,0.0,AM,2016-12-18
Austin (TX),Owner Surrender,Normal,Neutered Male,36,Cat,Neutered Male,36,Domestic Shorthair,0.0,AM,2018-10-06
Austin (TX),Stray,Nursing,Intact Male,1,Dog,Intact Male,1,Pit Bull,0.0,AM,2019-12-09
Austin (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,4,Domestic Shorthair,0.0,PM,2019-07-19
