Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Owner Surrender,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2017-01-03,0.303951367781155,0.6,Quarter 1,7.0
Austin (TX),Owner Surrender,Normal,Intact Male,10,Other,Intact Male,10,rare,0.0,AM,2014-01-08,0.303951367781155,0.18,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2015-06-09,0.303951367781155,0.54,Quarter 2,84.0
Travis (TX),Stray,Feral,Intact Male,2,Cat,Neutered Male,2,Siamese,0.0,AM,2014-10-02,0.303951367781155,0.162,Quarter 3,7.0
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Neutered Male,36,rare_dog,0.0,PM,2019-10-05,0.303951367781155,0.48,Quarter 3,8.0
Austin (TX),Stray,Normal,Neutered Male,144,Dog,Neutered Male,144,Chihuahua Shorthair,0.0,PM,2017-05-10,0.7407407407407408,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,AM,2014-03-06,0.32786885245901637,0.54,Quarter 1,9.0
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,Catahoula,0.0,AM,2018-08-11,0.7407407407407408,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,120,Dog,Neutered Male,120,Rat Terrier,0.0,AM,2018-09-24,0.7407407407407408,0.9,Quarter 3,3.0
Austin (TX),Owner Surrender,Sick,Neutered Male,108,Dog,Neutered Male,108,rare_dog,0.0,PM,2018-05-21,0.7407407407407408,0.2,Quarter 2,4.0
Austin (TX),Owner Surrender,Normal,Spayed Female,120,Dog,Spayed Female,120,rare_dog,0.0,PM,2014-09-02,0.7575757575757576,1.0,Quarter 3,38.0
Travis (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,2,rare_dog,0.0,AM,2016-12-18,0.7575757575757576,1.0,Quarter 3,15.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2015-07-27,0.32786885245901637,0.54,Quarter 2,47.0
