Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Travis (TX),Stray,Nursing,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-07-22,0.32786885245901637,0.43200000000000005,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Intact Male,10,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2016-09-23,0.303951367781155,0.6,Quarter 3,68.0
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,rare_dog,0.0,PM,2013-11-02,0.32786885245901637,0.54,Quarter 3,5.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,Chihuahua Shorthair,0.0,PM,2013-12-20,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,2,Domestic Shorthair,0.0,PM,2016-08-23,0.303951367781155,0.54,Quarter 2,9.0
Austin (TX),Owner Surrender,Normal,Intact Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2015-04-27,0.32786885245901637,0.6,Quarter 1,22.0
Austin (TX),Stray,Normal,Intact Female,2,Dog,Spayed Female,2,rare_dog,0.0,PM,2019-02-13,0.32786885245901637,0.54,Quarter 1,9.0
Austin (TX),Stray,Normal,Spayed Female,4,Cat,Spayed Female,4,Domestic Shorthair,0.0,AM,2017-12-28,0.7575757575757576,0.9,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Miniature Schnauzer,0.0,AM,2013-12-06,0.303951367781155,0.54,Quarter 3,9.0
Austin (TX),Stray,Normal,Intact Female,9,Dog,Spayed Female,10,rare_dog,0.0,PM,2018-05-22,0.32786885245901637,0.54,Quarter 2,10.0
Austin (TX),Public Assist,Normal,Intact Male,4,Dog,Intact Male,4,Dachshund,0.0,PM,2017-03-15,0.303951367781155,0.48,Quarter 1,0.0
Pflugerville (TX),Owner Surrender,Normal,Spayed Female,72,Dog,Spayed Female,72,rare_dog,0.0,AM,2014-12-13,0.7575757575757576,1.0,Quarter 3,10.0
Austin (TX),Owner Surrender,Normal,Spayed Female,60,Cat,Spayed Female,60,Domestic Shorthair,0.0,PM,2018-03-18,0.7575757575757576,1.0,Quarter 1,3.0
Del Valle (TX),Stray,Nursing,Intact Female,0,Dog,Spayed Female,2,Cairn Terrier,0.0,AM,2018-07-03,0.32786885245901637,0.43200000000000005,Quarter 2,70.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2016-05-12,0.32786885245901637,0.54,Quarter 2,6.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2016-03-27,0.32786885245901637,0.54,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Medium Hair,0.0,PM,2019-06-01,0.303951367781155,0.6,Quarter 2,6.0
Austin (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,AM,2014-05-26,0.7575757575757576,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Spayed Female,6,Dog,Spayed Female,6,German Shepherd,0.0,PM,2015-11-22,0.7575757575757576,0.9,Quarter 3,5.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2016-10-18,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Female,96,Dog,Intact Female,96,rare_dog,0.0,PM,2017-02-05,0.32786885245901637,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2015-06-13,0.32786885245901637,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Intact Female,2,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2016-07-17,0.32786885245901637,0.6,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Spayed Female,36,Dog,Spayed Female,36,Australian Shepherd,0.0,AM,2018-11-10,0.7575757575757576,1.0,Quarter 3,2.0
Austin (TX),Stray,Normal,Neutered Male,84,Dog,Neutered Male,84,Dachshund,0.0,AM,2015-08-24,0.7407407407407408,0.9,Quarter 2,127.0
Manor (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Pointer,0.0,PM,2015-05-19,0.32786885245901637,0.54,Quarter 2,7.0
Austin (TX),Stray,Normal,Intact Female,24,Dog,Intact Female,24,Chihuahua Shorthair,0.0,AM,2017-10-13,0.32786885245901637,0.54,Quarter 3,3.0
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,Pit Bull,0.0,PM,2019-10-14,0.7575757575757576,1.0,Quarter 3,47.0
Austin (TX),Owner Surrender,Normal,Spayed Female,36,Cat,Spayed Female,36,Domestic Shorthair,0.0,PM,2016-03-31,0.7575757575757576,1.0,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2017-05-13,0.32786885245901637,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Unknown,24,Other,Unknown,24,Raccoon,1.0,PM,2017-02-23,1.0101010101010102,0.10800000000000001,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2018-04-20,0.32786885245901637,0.54,Quarter 1,56.0
Travis (TX),Stray,Injured,Unknown,24,Cat,Unknown,24,Domestic Shorthair,1.0,PM,2015-04-03,1.0101010101010102,0.07200000000000001,Quarter 1,0.0
Austin (TX),Stray,Nursing,Intact Female,0,Dog,Intact Female,0,Pit Bull,0.0,AM,2014-01-04,0.32786885245901637,0.43200000000000005,Quarter 1,1.0
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,rare_dog,1.0,AM,2013-10-08,0.7407407407407408,0.9,Quarter 3,22.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2016-03-30,1.0101010101010102,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,144,Dog,Intact Male,144,Miniature Poodle,0.0,PM,2015-02-10,0.303951367781155,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,5,Dog,Intact Male,5,German Shepherd,0.0,AM,2016-07-01,0.303951367781155,0.54,Quarter 2,0.0
Austin (TX),Stray,Sick,Intact Male,1,Cat,Intact Male,1,Domestic Longhair,0.0,AM,2019-07-28,0.303951367781155,0.10800000000000001,Quarter 2,0.0
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2018-12-23,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Longhair,0.0,AM,2017-06-16,0.303951367781155,0.54,Quarter 2,4.0
Travis (TX),Owner Surrender,Normal,Intact Male,48,Other,Neutered Male,48,rare,0.0,PM,2017-11-06,0.303951367781155,0.18,Quarter 3,32.0
Austin (TX),Stray,Normal,Neutered Male,96,Other,Neutered Male,96,rare,0.0,PM,2020-01-25,0.7407407407407408,0.27,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2019-02-18,0.303951367781155,0.54,Quarter 1,0.0
Austin (TX),Stray,Normal,Unknown,24,Cat,Unknown,24,Domestic Longhair,0.0,PM,2014-07-29,1.0101010101010102,0.36000000000000004,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2018-02-19,0.32786885245901637,0.6,Quarter 1,5.0
Austin (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Longhair,0.0,PM,2014-08-04,0.7575757575757576,0.9,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,48,Dog,Spayed Female,48,Miniature Poodle,0.0,PM,2016-06-18,0.32786885245901637,0.54,Quarter 2,4.0
Travis (TX),Stray,Sick,Intact Male,2,Dog,Neutered Male,2,Labrador Retriever,0.0,PM,2015-04-20,0.303951367781155,0.10800000000000001,Quarter 1,7.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,AM,2016-10-30,0.303951367781155,0.54,Quarter 3,57.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Medium Hair,0.0,AM,2020-01-25,1.0101010101010102,0.36000000000000004,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2014-04-04,0.32786885245901637,0.54,Quarter 1,41.0
Austin (TX),Owner Surrender,Normal,Neutered Male,180,Cat,Neutered Male,180,Domestic Shorthair,0.0,PM,2016-04-07,0.7407407407407408,1.0,Quarter 1,15.0
Austin (TX),Stray,Normal,Spayed Female,60,Dog,Spayed Female,60,Miniature Poodle,0.0,PM,2016-02-13,0.7575757575757576,0.9,Quarter 1,2.0
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Dog,Neutered Male,72,Chihuahua Shorthair,0.0,AM,2017-04-05,0.7407407407407408,1.0,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Intact Female,36,Other,Intact Female,36,rare,0.0,AM,2014-08-05,0.32786885245901637,0.18,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,1,German Shepherd,0.0,AM,2015-04-11,0.7575757575757576,1.0,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Female,10,Dog,Spayed Female,10,Chihuahua Longhair,0.0,PM,2018-02-11,0.32786885245901637,0.54,Quarter 1,4.0
Travis (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Labrador Retriever,0.0,AM,2016-11-04,0.303951367781155,0.54,Quarter 3,0.0
Austin (TX),Owner Surrender,Normal,Spayed Female,108,Cat,Spayed Female,108,Domestic Shorthair,0.0,PM,2016-06-15,0.7575757575757576,1.0,Quarter 2,13.0
Austin (TX),Stray,Normal,Neutered Male,132,Dog,Neutered Male,132,Australian Shepherd,0.0,PM,2018-01-28,0.7407407407407408,0.9,Quarter 1,5.0
Austin (TX),Stray,Normal,Intact Male,96,Dog,Neutered Male,96,Dachshund,0.0,AM,2015-09-29,0.303951367781155,0.54,Quarter 3,9.0
Austin (TX),Stray,Normal,Intact Female,0,Dog,Intact Female,1,Pit Bull,0.0,AM,2018-03-21,0.32786885245901637,0.54,Quarter 1,16.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2016-08-01,0.32786885245901637,0.54,Quarter 2,8.0
Manor (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,rare_dog,0.0,AM,2019-11-20,0.303951367781155,0.54,Quarter 3,6.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,American Staffordshire Terrier,1.0,PM,2014-09-15,0.303951367781155,0.54,Quarter 3,16.0
Austin (TX),Stray,Normal,Intact Male,1,Other,Neutered Male,1,rare,0.0,PM,2017-07-07,0.303951367781155,0.162,Quarter 2,20.0
Manor (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Australian Cattle Dog,0.0,PM,2015-06-27,0.32786885245901637,0.54,Quarter 2,9.0
Austin (TX),Stray,Injured,Intact Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2014-02-09,0.303951367781155,0.10800000000000001,Quarter 1,12.0
Travis (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,2,Domestic Medium Hair,0.0,PM,2019-06-10,0.303951367781155,0.6,Quarter 2,11.0
Austin (TX),Stray,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2016-05-21,0.7407407407407408,0.9,Quarter 2,4.0
Travis (TX),Stray,Normal,Intact Male,2,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2015-07-25,0.303951367781155,0.54,Quarter 2,6.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-05-26,0.303951367781155,0.54,Quarter 2,9.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Miniature Poodle,0.0,PM,2018-01-18,0.303951367781155,0.54,Quarter 1,1.0
Travis (TX),Stray,Nursing,Unknown,1,Dog,Unknown,1,Chihuahua Shorthair,0.0,PM,2018-03-09,1.0101010101010102,0.28800000000000003,Quarter 1,0.0
Outside Jurisdiction,Public Assist,Normal,Intact Female,6,Dog,Intact Female,7,Labrador Retriever,0.0,PM,2017-09-03,0.32786885245901637,0.48,Quarter 3,30.0
Austin (TX),Public Assist,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2019-12-29,0.303951367781155,0.48,Quarter 3,12.0
Austin (TX),Stray,Sick,Intact Female,24,Dog,Spayed Female,24,Chihuahua Shorthair,0.0,PM,2014-09-21,0.32786885245901637,0.10800000000000001,Quarter 3,23.0
Austin (TX),Owner Surrender,Normal,Intact Male,5,Cat,Intact Male,5,Domestic Shorthair,1.0,AM,2019-09-14,0.303951367781155,0.6,Quarter 3,5.0
Austin (TX),Stray,Normal,Unknown,6,Cat,Unknown,6,Domestic Shorthair,0.0,PM,2019-02-06,1.0101010101010102,0.36000000000000004,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2016-09-15,0.32786885245901637,0.6,Quarter 3,4.0
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,Pit Bull,0.0,AM,2013-12-28,0.7575757575757576,1.0,Quarter 3,8.0
Manor (TX),Owner Surrender,Normal,Intact Female,3,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2015-06-22,0.32786885245901637,0.6,Quarter 2,7.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,2,Chihuahua Longhair,0.0,AM,2013-11-18,0.303951367781155,0.54,Quarter 3,2.0
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Miniature Poodle,0.0,PM,2019-08-21,0.32786885245901637,0.54,Quarter 2,11.0
Austin (TX),Stray,Aged,Intact Male,60,Dog,Intact Male,60,Chihuahua Shorthair,0.0,PM,2016-01-18,0.303951367781155,0.378,Quarter 1,13.0
Del Valle (TX),Stray,Other,Intact Male,120,Dog,Intact Male,120,rare_dog,1.0,PM,2013-10-11,0.303951367781155,0.21600000000000003,Quarter 3,4.0
Travis (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2016-04-21,0.32786885245901637,0.54,Quarter 1,26.0
Austin (TX),Owner Surrender,Normal,Intact Female,24,Dog,Intact Female,24,rare_dog,0.0,PM,2018-03-02,0.32786885245901637,0.6,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2013-12-06,0.32786885245901637,0.54,Quarter 3,18.0
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2018-04-06,0.303951367781155,0.43200000000000005,Quarter 1,0.0
Travis (TX),Stray,Normal,Neutered Male,120,Dog,Neutered Male,120,Miniature Schnauzer,0.0,PM,2019-08-06,0.7407407407407408,0.9,Quarter 2,2.0
Travis (TX),Owner Surrender,Injured,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2017-05-11,0.303951367781155,0.12,Quarter 2,17.0
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,AM,2017-08-24,0.7575757575757576,1.0,Quarter 2,1.0
Austin (TX),Stray,Injured,Intact Female,1,Cat,Spayed Female,1,Domestic Longhair,0.0,PM,2016-10-23,0.32786885245901637,0.10800000000000001,Quarter 3,30.0
Travis (TX),Owner Surrender,Normal,Spayed Female,36,Dog,Spayed Female,36,Chihuahua Shorthair,0.0,PM,2019-09-21,0.7575757575757576,1.0,Quarter 3,0.0
Lago Vista (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Labrador Retriever,0.0,PM,2016-10-13,0.303951367781155,0.54,Quarter 3,40.0
Austin (TX),Stray,Normal,Spayed Female,48,Dog,Spayed Female,48,rare_dog,0.0,AM,2014-10-25,0.7575757575757576,0.9,Quarter 3,8.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2015-09-06,0.32786885245901637,0.54,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Female,3,Cat,Spayed Female,3,Domestic Shorthair,0.0,AM,2016-07-28,0.32786885245901637,0.54,Quarter 2,10.0
Austin (TX),Owner Surrender,Normal,Neutered Male,11,Dog,Neutered Male,11,Pit Bull,0.0,PM,2016-11-22,0.7407407407407408,1.0,Quarter 3,8.0
Austin (TX),Stray,Normal,Spayed Female,132,Dog,Spayed Female,132,rare_dog,0.0,PM,2017-08-07,0.7575757575757576,0.9,Quarter 2,6.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,AM,2016-06-11,0.32786885245901637,0.54,Quarter 2,8.0
Bee Cave (TX),Stray,Normal,Intact Male,48,Dog,Neutered Male,48,Jack Russell Terrier,0.0,PM,2015-05-06,0.303951367781155,0.54,Quarter 2,10.0
Austin (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,AM,2015-09-10,0.7575757575757576,0.9,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2018-01-02,0.32786885245901637,0.54,Quarter 1,5.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-07-03,0.32786885245901637,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Spayed Female,72,Dog,Spayed Female,72,Pit Bull,1.0,AM,2014-01-25,0.7575757575757576,1.0,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Intact Female,4,Dog,Intact Female,5,rare_dog,0.0,AM,2019-05-11,0.32786885245901637,0.6,Quarter 2,3.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2019-01-09,0.32786885245901637,0.54,Quarter 1,5.0
Travis (TX),Stray,Nursing,Intact Female,24,Dog,Spayed Female,24,Pit Bull,0.0,AM,2016-05-21,0.32786885245901637,0.43200000000000005,Quarter 2,283.0
Austin (TX),Owner Surrender,Sick,Spayed Female,7,Cat,Spayed Female,7,Domestic Shorthair,0.0,PM,2019-01-18,0.7575757575757576,0.2,Quarter 1,0.0
Austin (TX),Stray,Normal,Neutered Male,60,Dog,Neutered Male,60,Chihuahua Shorthair,0.0,PM,2017-08-02,0.7407407407407408,0.9,Quarter 2,14.0
Austin (TX),Owner Surrender,Sick,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,AM,2016-12-11,0.7407407407407408,0.2,Quarter 3,19.0
Austin (TX),Public Assist,Nursing,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2019-07-06,0.32786885245901637,0.384,Quarter 2,10.0
Austin (TX),Public Assist,Sick,Intact Male,1,Cat,Intact Male,1,Siamese,0.0,AM,2016-08-13,0.303951367781155,0.096,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Spayed Female,48,Dog,Spayed Female,48,Pit Bull,0.0,PM,2017-08-24,0.7575757575757576,1.0,Quarter 2,12.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2015-09-10,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Injured,Intact Female,2,Cat,Spayed Female,6,Domestic Shorthair,0.0,PM,2019-05-11,0.32786885245901637,0.10800000000000001,Quarter 2,98.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,AM,2019-12-09,0.32786885245901637,0.54,Quarter 3,5.0
Travis (TX),Owner Surrender,Normal,Neutered Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2017-04-25,0.7407407407407408,1.0,Quarter 1,57.0
Austin (TX),Owner Surrender,Normal,Intact Female,2,Dog,Spayed Female,2,rare_dog,0.0,PM,2018-07-10,0.32786885245901637,0.6,Quarter 2,3.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Medium Hair,0.0,PM,2014-07-15,0.303951367781155,0.6,Quarter 2,50.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Dog,Neutered Male,2,Chihuahua Shorthair,0.0,AM,2019-05-01,0.303951367781155,0.6,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2017-10-25,0.32786885245901637,0.54,Quarter 3,54.0
Austin (TX),Stray,Normal,Neutered Male,108,Dog,Neutered Male,108,rare_dog,0.0,PM,2016-04-27,0.7407407407407408,0.9,Quarter 1,1.0
Austin (TX),Owner Surrender,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,AM,2014-02-19,0.7407407407407408,1.0,Quarter 1,0.0
Pflugerville (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2013-11-08,0.7575757575757576,0.9,Quarter 3,1.0
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,German Shepherd,0.0,AM,2016-03-26,0.7407407407407408,1.0,Quarter 1,1.0
Austin (TX),Stray,Normal,Neutered Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2020-01-19,0.7407407407407408,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Labrador Retriever,0.0,AM,2017-01-15,0.32786885245901637,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,0,Domestic Shorthair,0.0,AM,2016-04-28,0.303951367781155,0.54,Quarter 1,0.0
Austin (TX),Public Assist,Normal,Neutered Male,60,Dog,Neutered Male,72,Chihuahua Shorthair,0.0,PM,2017-12-24,0.7407407407407408,0.8,Quarter 3,532.0
Austin (TX),Stray,Normal,Spayed Female,48,Cat,Spayed Female,48,Domestic Shorthair,0.0,PM,2017-07-16,0.7575757575757576,0.9,Quarter 2,1.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2014-02-10,0.303951367781155,0.54,Quarter 1,6.0
Pflugerville (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2015-07-22,0.7407407407407408,1.0,Quarter 2,10.0
Austin (TX),Owner Surrender,Normal,Spayed Female,7,Dog,Spayed Female,7,Labrador Retriever,0.0,AM,2016-04-19,0.7575757575757576,1.0,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,11,Cat,Intact Female,11,Domestic Shorthair,0.0,PM,2018-06-13,0.32786885245901637,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,AM,2017-05-18,0.303951367781155,0.54,Quarter 2,11.0
Austin (TX),Stray,Normal,Spayed Female,168,Dog,Spayed Female,168,Miniature Schnauzer,0.0,PM,2019-04-08,0.7575757575757576,0.9,Quarter 1,0.0
Manor (TX),Public Assist,Sick,Neutered Male,96,Dog,Neutered Male,96,Miniature Schnauzer,0.0,AM,2015-07-06,0.7407407407407408,0.16000000000000003,Quarter 2,11.0
Austin (TX),Stray,Normal,Neutered Male,7,Cat,Neutered Male,8,Domestic Shorthair,0.0,AM,2018-10-09,0.7407407407407408,0.9,Quarter 3,6.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2019-02-21,0.303951367781155,0.54,Quarter 1,8.0
Austin (TX),Stray,Nursing,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2019-03-20,1.0101010101010102,0.28800000000000003,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Intact Female,6,Dog,Intact Female,7,Pit Bull,0.0,AM,2017-06-29,0.32786885245901637,0.6,Quarter 2,15.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2017-05-26,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,2,Domestic Shorthair,0.0,PM,2014-06-01,0.303951367781155,0.54,Quarter 2,36.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2017-11-30,0.32786885245901637,0.54,Quarter 3,31.0
Travis (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,1,Chihuahua Shorthair,1.0,PM,2013-10-14,0.32786885245901637,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2015-08-07,0.303951367781155,0.54,Quarter 2,28.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2016-05-31,0.303951367781155,0.54,Quarter 2,66.0
Austin (TX),Stray,Normal,Intact Male,96,Dog,Neutered Male,96,German Shepherd,0.0,PM,2016-01-05,0.303951367781155,0.54,Quarter 1,32.0
Austin (TX),Stray,Normal,Intact Female,0,Cat,Spayed Female,3,rare_cat,0.0,PM,2014-07-04,0.32786885245901637,0.54,Quarter 2,107.0
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,2,Domestic Shorthair,0.0,PM,2014-03-17,0.303951367781155,0.54,Quarter 1,71.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,PM,2014-06-15,0.303951367781155,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Spayed Female,7,Dog,Spayed Female,8,rare_dog,0.0,PM,2017-02-02,0.7575757575757576,1.0,Quarter 1,19.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,1.0,PM,2015-06-01,0.32786885245901637,0.54,Quarter 2,14.0
Austin (TX),Owner Surrender,Normal,Spayed Female,144,Dog,Spayed Female,144,rare_dog,0.0,PM,2018-04-07,0.7575757575757576,1.0,Quarter 1,1.0
Austin (TX),Wildlife,Injured,Intact Female,1,Other,Intact Female,1,rare,1.0,PM,2015-03-22,0.32786885245901637,0.0,Quarter 1,0.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2014-11-29,1.0101010101010102,0.0,Quarter 3,2.0
Austin (TX),Stray,Normal,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,PM,2016-04-23,1.0101010101010102,0.36000000000000004,Quarter 1,0.0
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,Chihuahua Shorthair,0.0,AM,2017-09-18,0.7407407407407408,0.9,Quarter 3,1.0
Austin (TX),Public Assist,Normal,Intact Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2019-03-28,0.303951367781155,0.48,Quarter 1,55.0
Austin (TX),Stray,Normal,Intact Male,4,Dog,Intact Male,5,Catahoula,0.0,AM,2018-11-25,0.303951367781155,0.54,Quarter 3,30.0
Austin (TX),Owner Surrender,Normal,Neutered Male,2,Dog,Neutered Male,2,Australian Cattle Dog,0.0,PM,2015-10-30,0.7407407407407408,1.0,Quarter 3,11.0
